,truth_int,duration,start,end
0,-1,113,0:00:54,0:02:47
1,-1,57,0:02:47,0:03:44
2,3,95,0:03:44,0:05:19
3,3,114,0:05:19,0:07:13
4,3,163,0:07:13,0:09:56
5,-1,208,0:09:56,0:13:24
6,3,138,0:13:24,0:15:42
7,3,102,0:15:42,0:17:24
8,-1,62,0:17:24,0:18:26
9,3,76,0:18:26,0:19:42
10,2,194,0:19:42,0:22:56
11,3,119,0:22:56,0:24:55
12,3,134,0:24:55,0:27:09
13,3,186,0:27:09,0:30:15
14,3,151,0:30:15,0:32:46
15,3,127,0:32:46,0:34:53
16,2,249,0:34:53,0:39:02
17,0,269,0:39:02,0:43:31
18,0,152,0:43:31,0:46:03
19,1,112,0:46:03,0:47:55
20,1,103,0:47:55,0:49:38
21,0,116,0:49:38,0:51:34
22,2,179,0:51:34,0:54:33
23,2,262,0:54:33,0:58:55
24,2,165,0:58:55,1:01:40
25,3,274,1:01:40,1:06:14
26,2,63,1:06:14,1:07:17
27,2,167,1:07:17,1:10:04
